time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
0,864;7,667;-0,833;64543;True;-0,833;-1,667
1,118;8,333;-0,167;61503;True;-0,167;-0,333
1,778;9,167;0,667;61567;True;0,667;1,333
2,257;9,833;1,333;61567;True;1,333;2,667
2,815;9,667;1,167;63551;True;1,167;2,333
3,119;9,000;0,500;64543;True;0,500;1,000
3,416;8,333;-0,167;64543;True;-0,167;-0,333
3,568;7,833;-0,667;65055;True;-0,667;-1,333
3,721;7,833;-0,667;64543;True;-0,667;-1,333
4,054;7,833;-0,667;64543;True;-0,667;-1,333
4,208;8,000;-0,500;64543;True;-0,500;-1,000
4,360;8,000;-0,500;64543;True;-0,500;-1,000
4,699;8,167;-0,333;63519;True;-0,333;-0,667
5,358;8,500;0,000;63551;True;0,000;0,000
5,662;8,833;0,333;63551;True;0,333;0,667
5,954;9,000;0,500;63551;True;0,500;1,000
6,461;9,000;0,500;63551;True;0,500;1,000
6,765;9,000;0,500;63551;True;0,500;1,000
7,056;9,000;0,500;63551;True;0,500;1,000
7,209;9,000;0,500;63551;True;0,500;1,000
7,412;9,000;0,500;63551;True;0,500;1,000
7,709;8,833;0,333;63519;True;0,333;0,667
8,065;8,500;0,000;64543;True;0,000;0,000
8,369;8,167;-0,333;64543;True;-0,333;-0,667
8,661;8,000;-0,500;64543;True;-0,500;-1,000
8,965;8,000;-0,500;64543;True;-0,500;-1,000
9,472;8,333;-0,167;63551;True;-0,167;-0,333
9,765;8,667;0,167;63551;True;0,167;0,333
9,968;9,000;0,500;63551;True;0,500;1,000
10,273;8,833;0,333;63519;True;0,333;0,667
10,567;8,833;0,333;63551;True;0,333;0,667
10,769;8,667;0,167;63519;True;0,167;0,333
11,073;8,667;0,167;63519;True;0,167;0,333
11,364;8,667;0,167;63551;True;0,167;0,333
11,567;8,667;0,167;63519;True;0,167;0,333
11,871;8,500;0,000;64543;True;0,000;0,000
12,366;8,167;-0,333;64543;True;-0,333;-0,667
12,670;8,000;-0,500;64543;True;-0,500;-1,000
12,874;8,000;-0,500;64543;True;-0,500;-1,000
13,423;8,333;-0,167;63551;True;-0,167;-0,333
13,575;8,667;0,167;63551;True;0,167;0,333
13,728;9,000;0,500;63551;True;0,500;1,000
14,075;9,000;0,500;63551;True;0,500;1,000
14,227;9,000;0,500;63551;True;0,500;1,000
14,379;9,000;0,500;63551;True;0,500;1,000
14,718;8,833;0,333;63519;True;0,333;0,667
14,870;8,667;0,167;63519;True;0,167;0,333
15,072;8,333;-0,167;64543;True;-0,167;-0,333
15,370;8,167;-0,333;64543;True;-0,333;-0,667
15,522;8,000;-0,500;64543;True;-0,500;-1,000
15,725;8,000;-0,500;64543;True;-0,500;-1,000
16,241;8,333;-0,167;63551;True;-0,167;-0,333
16,747;8,667;0,167;63551;True;0,167;0,333
18,066;9,000;0,500;63551;True;0,500;1,000
18,309;9,167;0,667;61503;True;0,667;1,333
18,614;9,167;0,667;63551;True;0,667;1,333
18,919;9,167;0,667;63551;True;0,667;1,333
19,288;8,667;0,167;64543;True;0,167;0,333
19,592;8,333;-0,167;64543;True;-0,167;-0,333
19,897;8,000;-0,500;64543;True;-0,500;-1,000
20,402;8,000;-0,500;64543;True;-0,500;-1,000
20,758;8,333;-0,167;63551;True;-0,167;-0,333
21,012;8,500;0,000;64575;True;0,000;0,000
21,314;8,833;0,333;63551;True;0,333;0,667
21,466;8,833;0,333;63551;True;0,333;0,667
21,618;9,000;0,500;63551;True;0,500;1,000
21,957;9,000;0,500;63551;True;0,500;1,000
22,109;9,000;0,500;63551;True;0,500;1,000
22,920;8,667;0,167;64543;True;0,167;0,333
23,410;8,167;-0,333;65055;True;-0,333;-0,667
23,714;7,667;-0,833;65055;True;-0,833;-1,667
24,018;7,500;-1,000;65055;True;-1,000;-2,000
