time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
2,071;8,667;0,167;64543;True;0,167;0,250
2,375;8,333;-0,167;64543;True;-0,167;-0,250
2,578;8,000;-0,500;64543;True;-0,500;-0,750
3,176;8,000;-0,500;64543;True;-0,500;-0,750
3,379;8,000;-0,500;64543;True;-0,500;-0,750
3,683;8,000;-0,500;64543;True;-0,500;-0,750
4,386;8,000;-0,500;64543;True;-0,500;-0,750
4,691;8,000;-0,500;64543;True;-0,500;-0,750
4,997;8,167;-0,333;63519;True;-0,333;-0,500
5,821;8,500;0,000;63551;True;0,000;0,000
5,974;8,833;0,333;63551;True;0,333;0,500
7,141;9,167;0,667;61503;True;0,667;1,000
7,808;9,167;0,667;63551;True;0,667;1,000
8,113;9,167;0,667;63551;True;0,667;1,000
8,418;8,833;0,333;63519;True;0,333;0,500
8,811;8,500;0,000;64543;True;0,000;0,000
9,168;8,167;-0,333;64543;True;-0,333;-0,500
9,473;8,000;-0,500;64543;True;-0,500;-0,750
9,819;8,000;-0,500;64543;True;-0,500;-0,750
10,123;8,167;-0,333;63519;True;-0,333;-0,500
10,275;8,167;-0,333;64543;True;-0,333;-0,500
10,612;8,500;0,000;63551;True;0,000;0,000
11,171;8,667;0,167;63551;True;0,167;0,250
11,476;9,000;0,500;63551;True;0,500;0,750
11,785;9,000;0,500;63551;True;0,500;0,750
11,937;9,000;0,500;63551;True;0,500;0,750
12,089;9,000;0,500;63551;True;0,500;0,750
12,581;9,000;0,500;63551;True;0,500;0,750
12,734;8,833;0,333;63519;True;0,333;0,500
13,088;8,667;0,167;63519;True;0,167;0,250
13,410;8,333;-0,167;64543;True;-0,167;-0,250
13,562;8,167;-0,333;64543;True;-0,333;-0,500
13,917;8,167;-0,333;63519;True;-0,333;-0,500
14,420;8,500;0,000;63551;True;0,000;0,000
14,572;8,833;0,333;63551;True;0,333;0,500
14,725;9,000;0,500;63551;True;0,500;0,750
15,070;9,000;0,500;63551;True;0,500;0,750
15,374;8,833;0,333;63519;True;0,333;0,500
15,882;8,500;0,000;64543;True;0,000;0,000
16,174;8,167;-0,333;64543;True;-0,333;-0,500
16,378;8,000;-0,500;64543;True;-0,500;-0,750
16,682;8,000;-0,500;64543;True;-0,500;-0,750
16,992;8,000;-0,500;64543;True;-0,500;-0,750
17,296;8,000;-0,500;64543;True;-0,500;-0,750
17,600;8,000;-0,500;64543;True;-0,500;-0,750
18,557;8,333;-0,167;63551;True;-0,167;-0,250
18,709;8,833;0,333;61503;True;0,333;0,500
18,861;9,167;0,667;63551;True;0,667;1,000
19,411;9,333;0,833;61503;True;0,833;1,250
19,716;9,167;0,667;63551;True;0,667;1,000
20,022;9,167;0,667;63551;True;0,667;1,000
20,341;9,000;0,500;63551;True;0,500;0,750
