time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
2,026;8,000;-0,500;64543;True;-0,500;-0,500
2,381;8,167;-0,333;63519;True;-0,333;-0,333
2,533;8,167;-0,333;64543;True;-0,333;-0,333
4,095;8,500;0,000;63551;True;0,000;0,000
4,247;8,667;0,167;63551;True;0,167;0,167
4,399;9,000;0,500;63551;True;0,500;0,500
5,216;9,000;0,500;63551;True;0,500;0,500
5,520;9,000;0,500;63551;True;0,500;0,500
5,673;9,000;0,500;63551;True;0,500;0,500
6,155;8,667;0,167;64543;True;0,167;0,167
6,409;8,500;0,000;63519;True;0,000;0,000
6,714;8,167;-0,333;64543;True;-0,333;-0,333
7,200;8,333;-0,167;63519;True;-0,167;-0,167
8,467;8,500;0,000;63551;True;0,000;0,000
8,619;8,833;0,333;63551;True;0,333;0,333
8,964;9,000;0,500;63551;True;0,500;0,500
9,269;9,000;0,500;63551;True;0,500;0,500
9,421;9,000;0,500;63551;True;0,500;0,500
10,395;9,000;0,500;63551;True;0,500;0,500
10,548;9,000;0,500;63551;True;0,500;0,500
10,701;9,000;0,500;63551;True;0,500;0,500
11,191;9,000;0,500;63551;True;0,500;0,500
11,648;9,000;0,500;63551;True;0,500;0,500
12,155;8,667;0,167;64543;True;0,167;0,167
12,453;8,333;-0,167;64543;True;-0,167;-0,167
12,706;8,167;-0,333;63519;True;-0,333;-0,333
12,859;8,167;-0,333;64543;True;-0,333;-0,333
13,208;8,333;-0,167;63519;True;-0,167;-0,167
13,259;8,167;-0,333;64543;True;-0,333;-0,333
13,463;8,500;0,000;63551;True;0,000;0,000
13,779;8,667;0,167;63551;True;0,167;0,167
13,931;9,000;0,500;63551;True;0,500;0,500
14,642;8,667;0,167;64543;True;0,167;0,167
14,894;8,333;-0,167;64543;True;-0,167;-0,167
15,351;8,000;-0,500;64543;True;-0,500;-0,500
15,554;8,000;-0,500;64543;True;-0,500;-0,500
16,869;8,333;-0,167;63551;True;-0,167;-0,167
17,020;8,667;0,167;63551;True;0,167;0,167
17,172;9,000;0,500;63551;True;0,500;0,500
17,524;9,167;0,667;61503;True;0,667;0,667
17,677;9,333;0,833;61503;True;0,833;0,833
17,829;9,333;0,833;63551;True;0,833;0,833
18,182;9,333;0,833;61503;True;0,833;0,833
18,486;9,167;0,667;63551;True;0,667;0,667
18,994;9,167;0,667;63551;True;0,667;0,667
19,392;9,000;0,500;63551;True;0,500;0,500
19,595;9,000;0,500;63551;True;0,500;0,500
20,153;9,000;0,500;63551;True;0,500;0,500
20,462;9,000;0,500;63551;True;0,500;0,500
20,614;9,000;0,500;63551;True;0,500;0,500
