time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
1,947;8,167;-0,333;65055;True;-0,333;-0,167
2,454;7,500;-1,000;65039;True;-1,000;-0,500
2,607;7,167;-1,333;65039;True;-1,333;-0,667
3,412;7,000;-1,500;65039;True;-1,500;-0,750
3,716;7,000;-1,500;65039;True;-1,500;-0,750
4,020;7,000;-1,500;65039;True;-1,500;-0,750
4,362;7,000;-1,500;65039;True;-1,500;-0,750
4,667;7,000;-1,500;65039;True;-1,500;-0,750
4,971;7,000;-1,500;65039;True;-1,500;-0,750
5,261;7,000;-1,500;65039;True;-1,500;-0,750
5,414;7,000;-1,500;65039;True;-1,500;-0,750
5,617;7,167;-1,333;65055;True;-1,333;-0,667
5,857;7,500;-1,000;64543;True;-1,000;-0,500
5,959;7,667;-0,833;65055;True;-0,833;-0,417
6,111;7,667;-0,833;65055;True;-0,833;-0,417
7,166;8,000;-0,500;63551;True;-0,500;-0,250
7,369;8,500;0,000;63551;True;0,000;0,000
7,673;9,000;0,500;63551;True;0,500;0,250
7,979;9,000;0,500;63551;True;0,500;0,250
8,131;9,000;0,500;63551;True;0,500;0,250
8,790;9,000;0,500;63551;True;0,500;0,250
9,278;9,000;0,500;63551;True;0,500;0,250
9,481;9,000;0,500;63551;True;0,500;0,250
9,633;9,000;0,500;63551;True;0,500;0,250
9,873;9,167;0,667;61503;True;0,667;0,333
10,177;9,333;0,833;61503;True;0,833;0,417
10,685;9,333;0,833;63551;True;0,833;0,417
11,836;9,167;0,667;63551;True;0,667;0,333
12,141;9,000;0,500;63551;True;0,500;0,250
12,343;9,000;0,500;63551;True;0,500;0,250
12,642;9,000;0,500;63551;True;0,500;0,250
12,793;9,000;0,500;63551;True;0,500;0,250
12,946;9,000;0,500;63551;True;0,500;0,250
13,284;9,000;0,500;63551;True;0,500;0,250
13,436;8,833;0,333;63519;True;0,333;0,167
13,588;8,500;0,000;64543;True;0,000;0,000
14,090;8,167;-0,333;64543;True;-0,333;-0,167
14,395;8,000;-0,500;64543;True;-0,500;-0,250
