time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
1,967;8,167;-0,333;64543;True;-0,333;-0,833
2,271;8,167;-0,333;64543;True;-0,333;-0,833
2,576;8,000;-0,500;64543;True;-0,500;-1,250
3,071;8,333;-0,167;63551;True;-0,167;-0,417
3,223;8,667;0,167;63551;True;0,167;0,417
3,426;9,000;0,500;63551;True;0,500;1,250
3,727;9,000;0,500;63551;True;0,500;1,250
3,880;9,000;0,500;63551;True;0,500;1,250
4,031;9,000;0,500;63551;True;0,500;1,250
4,363;8,833;0,333;63519;True;0,333;0,833
4,516;8,500;0,000;64543;True;0,000;0,000
5,378;8,500;0,000;63551;True;0,000;0,000
5,878;8,667;0,167;63551;True;0,167;0,417
6,182;9,000;0,500;63551;True;0,500;1,250
6,487;9,000;0,500;63551;True;0,500;1,250
7,536;8,333;-0,167;65039;True;-0,167;-0,417
7,839;7,667;-0,833;65039;True;-0,833;-2,083
8,194;7,000;-1,500;65039;True;-1,500;-3,750
8,487;7,333;-1,167;64543;True;-1,167;-2,917
8,995;8,000;-0,500;63551;True;-0,500;-1,250
9,808;9,333;0,833;57599;True;0,833;2,083
10,097;10,333;1,833;57599;True;1,833;4,583
10,249;11,000;2,500;57599;True;2,500;6,250
10,603;10,667;2,167;61567;True;2,167;5,417
10,896;9,667;1,167;64543;True;1,167;2,917
11,200;8,500;0,000;65055;True;0,000;0,000
11,404;7,500;-1,000;65039;True;-1,000;-2,500
11,755;7,333;-1,167;65055;True;-1,167;-2,917
12,059;7,500;-1,000;64543;True;-1,000;-2,500
12,212;7,833;-0,667;64543;True;-0,667;-1,667
13,107;8,333;-0,167;63551;True;-0,167;-0,417
13,412;9,000;0,500;61567;True;0,500;1,250
13,564;9,667;1,167;61567;True;1,167;2,917
13,812;9,833;1,333;61503;True;1,333;3,333
13,964;9,500;1,000;63551;True;1,000;2,500
14,116;9,167;0,667;63551;True;0,667;1,667
14,458;8,833;0,333;63519;True;0,333;0,833
14,610;8,500;0,000;64543;True;0,000;0,000
14,763;8,167;-0,333;64543;True;-0,333;-0,833
15,108;8,000;-0,500;64543;True;-0,500;-1,250
15,261;8,000;-0,500;64543;True;-0,500;-1,250
15,312;8,000;-0,500;64543;True;-0,500;-1,250
15,611;8,167;-0,333;63519;True;-0,333;-0,833
15,662;8,500;0,000;63551;True;0,000;0,000
15,814;8,833;0,333;63551;True;0,333;0,833
16,317;8,833;0,333;63519;True;0,333;0,833
16,519;8,500;0,000;64543;True;0,000;0,000
16,823;8,167;-0,333;64543;True;-0,333;-0,833
17,788;8,333;-0,167;63551;True;-0,167;-0,417
17,941;8,667;0,167;63551;True;0,167;0,417
18,093;9,000;0,500;63551;True;0,500;1,250
18,598;8,833;0,333;63519;True;0,333;0,833
18,903;8,500;0,000;64543;True;0,000;0,000
19,258;8,167;-0,333;64543;True;-0,333;-0,833
19,814;8,333;-0,167;63551;True;-0,167;-0,417
19,966;8,667;0,167;63551;True;0,167;0,417
20,118;9,000;0,500;63551;True;0,500;1,250
20,629;8,667;0,167;64543;True;0,167;0,417
20,932;8,333;-0,167;64543;True;-0,167;-0,417
21,238;8,167;-0,333;64575;True;-0,333;-0,833
21,744;8,500;0,000;63551;True;0,000;0,000
22,048;8,833;0,333;63551;True;0,333;0,833
22,200;9,000;0,500;63551;True;0,500;1,250
22,538;9,000;0,500;63551;True;0,500;1,250
22,690;9,000;0,500;63551;True;0,500;1,250
22,842;8,667;0,167;64543;True;0,167;0,417
23,544;8,333;-0,167;64543;True;-0,167;-0,417
23,849;8,000;-0,500;64543;True;-0,500;-1,250
24,152;8,000;-0,500;64543;True;-0,500;-1,250
24,649;8,333;-0,167;63551;True;-0,167;-0,417
24,852;8,667;0,167;63551;True;0,167;0,417
25,156;9,000;0,500;63551;True;0,500;1,250
25,447;9,000;0,500;63551;True;0,500;1,250
25,599;8,833;0,333;64575;True;0,333;0,833
26,715;8,500;0,000;64543;True;0,000;0,000
27,015;8,167;-0,333;64543;True;-0,333;-0,833
27,168;8,000;-0,500;64543;True;-0,500;-1,250
27,320;8,000;-0,500;64543;True;-0,500;-1,250
