time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
1,563;8,000;-0,500;64543;True;-0,500;-2,246
1,715;8,000;-0,500;64543;True;-0,500;-1,270
2,070;8,000;-0,500;64543;True;-0,500;-1,288
2,540;8,000;-0,500;64543;True;-0,500;-1,312
2,692;8,000;-0,500;64543;True;-0,500;-1,319
3,353;8,333;-0,167;63551;True;-0,167;-0,244
4,204;9,000;0,500;61567;True;0,500;1,604
4,357;9,667;1,167;61567;True;1,167;5,087
4,508;10,000;1,500;61567;True;1,500;4,851
5,008;9,667;1,167;63551;True;1,167;2,645
5,161;9,333;0,833;63551;True;0,833;1,064
5,313;9,000;0,500;63551;True;0,500;0,233
5,856;8,667;0,167;64543;True;0,167;0,201
6,161;8,333;-0,167;64543;True;-0,167;-0,878
7,288;7,667;-0,833;65039;True;-0,833;-2,387
7,801;7,667;-0,833;64543;True;-0,833;-2,134
7,952;7,667;-0,833;64543;True;-0,833;-2,147
8,460;8,500;0,000;61503;True;0,000;0,758
8,960;9,167;0,667;61567;True;0,667;2,303
9,264;9,833;1,333;61567;True;1,333;4,438
9,619;9,667;1,167;63551;True;1,167;2,734
10,104;8,833;0,333;65055;True;0,333;0,042
10,408;7,833;-0,667;65039;True;-0,667;-3,265
10,763;7,500;-1,000;64543;True;-1,000;-2,957
11,009;7,667;-0,833;64543;True;-0,833;-1,752
11,719;8,333;-0,167;63551;True;-0,167;0,032
11,923;8,667;0,167;63551;True;0,167;1,219
12,225;9,000;0,500;63551;True;0,500;1,800
12,428;9,000;0,500;63551;True;0,500;1,258
12,734;9,000;0,500;63551;True;0,500;1,274
13,026;9,000;0,500;63551;True;0,500;1,288
13,229;9,000;0,500;63551;True;0,500;1,298
13,381;8,667;0,167;64543;True;0,167;-0,629
13,677;8,333;-0,167;64543;True;-0,167;-0,933
13,830;8,000;-0,500;64543;True;-0,500;-2,305
13,982;8,000;-0,500;64543;True;-0,500;-1,219
14,837;8,333;-0,167;63551;True;-0,167;-0,205
14,989;8,667;0,167;63551;True;0,167;1,530
15,800;8,833;0,333;63519;True;0,333;0,982
16,655;8,500;0,000;64543;True;0,000;-0,149
16,960;8,167;-0,333;64543;True;-0,333;-1,344
17,162;8,000;-0,500;64543;True;-0,500;-1,635
17,464;8,167;-0,333;63519;True;-0,333;-0,541
17,617;8,333;-0,167;63519;True;-0,167;0,142
17,769;8,500;0,000;63519;True;0,000;0,560
18,272;8,500;0,000;63519;True;0,000;0,013
18,424;8,333;-0,167;64543;True;-0,167;-0,956
19,439;8,500;0,000;63551;True;0,000;0,093
20,093;8,667;0,167;63551;True;0,167;0,566
20,600;9,000;0,500;63551;True;0,500;1,625
20,753;9,167;0,667;61503;True;0,667;2,271
21,425;9,000;0,500;64575;True;0,500;1,217
21,780;8,667;0,167;64543;True;0,167;0,043
22,084;8,167;-0,333;64543;True;-0,333;-1,567
22,386;7,833;-0,667;65055;True;-0,667;-2,152
22,539;7,667;-0,833;65055;True;-0,833;-2,576
22,742;7,500;-1,000;65055;True;-1,000;-2,877
23,239;8,000;-0,500;63551;True;-0,500;-0,739
23,544;8,500;0,000;63551;True;0,000;0,828
23,848;9,000;0,500;63551;True;0,500;2,096
24,143;9,000;0,500;63551;True;0,500;1,288
24,447;9,000;0,500;63551;True;0,500;1,304
24,650;9,000;0,500;63551;True;0,500;1,314
24,945;8,667;0,167;64543;True;0,167;-0,081
25,097;8,333;-0,167;64543;True;-0,167;-1,445
