time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
2,240;8,000;-0,500;64543;True;-0,500;-1,500
2,545;8,333;-0,167;63551;True;-0,167;-0,500
2,850;8,667;0,167;63551;True;0,167;0,500
3,337;9,333;0,833;61567;True;0,833;2,500
3,490;9,500;1,000;61503;True;1,000;3,000
3,643;9,500;1,000;63551;True;1,000;3,000
3,981;9,167;0,667;63551;True;0,667;2,000
4,133;9,000;0,500;63551;True;0,500;1,500
4,996;8,500;0,000;65055;True;0,000;0,000
5,340;7,833;-0,667;65039;True;-0,667;-2,000
5,492;7,167;-1,333;65039;True;-1,333;-4,000
6,051;7,333;-1,167;64543;True;-1,167;-3,500
6,550;8,333;-0,167;61567;True;-0,167;-0,500
7,059;9,333;0,833;61567;True;0,833;2,500
7,514;10,000;1,500;61567;True;1,500;4,500
8,314;9,333;0,833;64543;True;0,833;2,500
8,619;8,333;-0,167;65039;True;-0,167;-0,500
8,772;7,333;-1,167;65039;True;-1,167;-3,500
9,257;7,000;-1,500;65039;True;-1,500;-4,500
9,561;7,333;-1,167;64543;True;-1,167;-3,500
9,764;8,000;-0,500;63551;True;-0,500;-1,500
10,053;8,833;0,333;61503;True;0,333;1,000
10,206;9,333;0,833;61503;True;0,833;2,500
10,409;9,500;1,000;61503;True;1,000;3,000
10,705;9,333;0,833;63551;True;0,833;2,500
10,857;9,167;0,667;63551;True;0,667;2,000
11,009;9,000;0,500;63551;True;0,500;1,500
11,400;8,667;0,167;64543;True;0,167;0,500
11,552;8,333;-0,167;64543;True;-0,167;-0,500
12,110;8,000;-0,500;64543;True;-0,500;-1,500
12,405;8,000;-0,500;64543;True;-0,500;-1,500
12,557;8,000;-0,500;64543;True;-0,500;-1,500
13,218;8,333;-0,167;63551;True;-0,167;-0,500
13,712;8,833;0,333;61503;True;0,333;1,000
13,865;9,500;1,000;61567;True;1,000;3,000
14,017;9,500;1,000;63551;True;1,000;3,000
14,410;9,333;0,833;63551;True;0,833;2,500
14,562;8,667;0,167;64543;True;0,167;0,500
14,714;8,667;0,167;63551;True;0,167;0,500
15,061;8,333;-0,167;64543;True;-0,167;-0,500
16,078;8,667;0,167;63551;True;0,167;0,500
16,231;8,333;-0,167;64543;True;-0,167;-0,500
17,401;8,333;-0,167;64543;True;-0,167;-0,500
17,604;8,000;-0,500;64543;True;-0,500;-1,500
17,757;8,333;-0,167;63551;True;-0,167;-0,500
18,110;8,667;0,167;63551;True;0,167;0,500
18,263;9,167;0,667;61503;True;0,667;2,000
19,377;8,833;0,333;64543;True;0,333;1,000
19,681;8,167;-0,333;65039;True;-0,333;-1,000
19,832;7,333;-1,167;65039;True;-1,167;-3,500
19,985;7,000;-1,500;65039;True;-1,500;-4,500
20,487;7,333;-1,167;64543;True;-1,167;-3,500
20,639;8,000;-0,500;63551;True;-0,500;-1,500
20,791;8,667;0,167;63551;True;0,167;0,500
21,646;9,333;0,833;61567;True;0,833;2,500
22,763;9,167;0,667;64575;True;0,667;2,000
23,119;8,833;0,333;64543;True;0,333;1,000
23,834;7,833;-0,667;65039;True;-0,667;-2,000
24,190;7,333;-1,167;65039;True;-1,167;-3,500
24,343;7,000;-1,500;65039;True;-1,500;-4,500
24,689;7,333;-1,167;64543;True;-1,167;-3,500
25,197;8,000;-0,500;63551;True;-0,500;-1,500
25,909;9,000;0,500;61567;True;0,500;1,500
26,412;9,833;1,333;61695;True;1,333;4,000
26,716;10,167;1,667;61567;True;1,667;5,000
26,868;10,167;1,667;61567;True;1,667;5,000
