time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
1,555;8,667;0,167;64543;True;0,167;1,889
1,708;8,333;-0,167;64543;True;-0,167;-1,344
2,062;8,000;-0,500;64543;True;-0,500;-1,239
2,596;8,333;-0,167;63551;True;-0,167;0,034
2,899;8,667;0,167;63551;True;0,167;0,776
3,456;9,333;0,833;61567;True;0,833;1,872
4,569;9,500;1,000;61503;True;1,000;1,709
4,722;9,667;1,167;61503;True;1,167;2,448
4,874;9,500;1,000;61503;True;1,000;1,121
5,364;9,333;0,833;63551;True;0,833;1,288
5,871;8,833;0,333;64543;True;0,333;0,232
6,176;8,000;-0,500;65039;True;-0,500;-1,906
6,886;7,333;-1,167;65039;True;-1,167;-2,092
7,545;7,333;-1,167;64543;True;-1,167;-1,700
7,849;8,000;-0,500;63551;True;-0,500;0,379
8,343;8,667;0,167;63551;True;0,167;0,969
8,496;9,000;0,500;63551;True;0,500;1,892
9,459;8,667;0,167;64543;True;0,167;0,144
9,911;8,333;-0,167;64543;True;-0,167;-0,560
10,064;8,167;-0,333;63519;True;-0,333;-0,991
10,217;8,167;-0,333;64543;True;-0,333;-0,451
11,450;8,500;0,000;63551;True;0,000;0,184
11,601;8,667;0,167;63551;True;0,167;0,851
12,565;9,000;0,500;63551;True;0,500;1,023
12,857;9,000;0,500;63551;True;0,500;0,865
13,060;9,000;0,500;63551;True;0,500;0,875
13,364;9,000;0,500;63551;True;0,500;0,890
14,526;8,667;0,167;64543;True;0,167;0,266
14,729;8,333;-0,167;64543;True;-0,167;-0,914
15,034;7,667;-0,833;65039;True;-0,833;-2,214
15,692;7,667;-0,833;64543;True;-0,833;-1,174
15,997;7,833;-0,667;63519;True;-0,667;-0,671
16,302;8,500;0,000;63551;True;0,000;1,149
16,596;8,833;0,333;63551;True;0,333;1,131
16,799;9,000;0,500;63551;True;0,500;1,237
17,103;9,000;0,500;63551;True;0,500;0,840
17,449;8,667;0,167;64543;True;0,167;-0,135
17,753;8,500;0,000;63519;True;0,000;-0,178
18,362;8,500;0,000;63551;True;0,000;0,096
18,859;8,833;0,333;63551;True;0,333;0,948
19,163;9,000;0,500;63551;True;0,500;1,152
19,467;9,000;0,500;63551;True;0,500;0,893
20,120;9,000;0,500;63551;True;0,500;0,926
20,272;8,833;0,333;64575;True;0,333;0,132
20,424;8,667;0,167;64575;True;0,167;-0,115
21,636;8,667;0,167;63551;True;0,167;0,454
21,940;8,833;0,333;63551;True;0,333;0,988
22,093;9,000;0,500;63551;True;0,500;1,518
22,998;8,667;0,167;64543;True;0,167;0,302
23,303;8,167;-0,333;65055;True;-0,333;-1,094
23,607;7,667;-0,833;65055;True;-0,833;-1,871
